,name,price,size,reviews,rating,comment
143,SETTECIELI PINOT NERO (750 ML),$15.98,750 ml,0,0,
144,Sleight Of Hand Illusionist Cabernet Sauvignon (750 ML),$59.99,750 ml,0,0,
145,Gramercy Cellars Syrah The Deuce (750 ML),$69.99,750 ml,0,0,
146,Buzzballz Lime Rita (187 ML),$3.99,187 ml,0,0,
147,MARK RYAN RED MONKEY WRENCH (750 ML),$37.99,750 ml,0,0,
148,Buzzballz Choco Chiller (187 ML),$3.99,187 ml,0,0,
149,Loco Lopez Sangria 1.5L (1.5 LTR),$14.99,1.5 ltr,0,0,
150,Claffey's Frozen Cocktails 12 Variety Pack (12PK 187 ML),$26.99,12pk 187 ml,3,5,AWESOME!
151,J Vineyard California Pinot Noir 375mL (375 ML),$19.99,375 ml,0,0,
152,House Wine Casa-Rita (375 ML),$6.99,375 ml,0,0,
153,House Wine Paloma (375 ML),$6.99,375 ml,0,0,
154,House Wine Ginger Mule (375 ML),$6.99,375 ml,0,0,
155,House Wine Cranberry Cosmo (375 ML),$6.99,375 ml,0,0,
156,Sutter Home Pinot Grigio (4PK 187 ML),$7.99,4pk 187 ml,0,0,
157,Cupcake Moscato d'Asti (750 ML),$16.99,750 ml,0,0,
158,Ozeki Sparkling Hana Awaka Sake (250 ML),$8.99,250 ml,0,0,
159,Long Shadows Sequel Syrah (750 ML),$69.99,750 ml,0,0,
160,Long Shadows Feather Columbia Valley Cabernet Sauvignon (750 ML),$79.99,750 ml,0,0,
161,Vietti Barbera d'Asti (750 ML),$19.99,750 ml,0,0,
162,Tenet GSM Red Blend (750 ML),$89.99,750 ml,0,0,
163,Sleight of Hand Levitation Syrah (750 ML),$59.99,750 ml,0,0,
164,Delas Crozes Hermitage (750 ML),$39.99,750 ml,0,0,
165,Sea Sun Pinot Noir (750 ML),$24.99,750 ml,0,0,
166,Settecieli Chianti Classico (750 ML),$24.98,750 ml,0,0,
167,SETTECIELI PINOT NERO (750 ML),$15.98,750 ml,0,0,
168,JAM CELLARS BUTTER CAB SAUV (750 ML),$19.99,750 ml,0,0,
169,House Wine Strawberry Lemonade (375 ML),$5.99,375 ml,0,0,
170,She Can Citrus Rose Spritz (375 ML CAN ),$7.99,375 ml can,0,0,
171,Sutter Home Peach Tea Wine Cocktail (4PK 187 ML),$7.99,4pk 187 ml,0,0,
172,Ohza Classic Bellini (4PK 12 OZ),$15.99,4pk 12 oz,0,0,
173,Ohza Classic Mimosa 4pk 12 oz cans (4PK 12 OZ),$12.99,4pk 12 oz,1,4,GOOD TASTE
174,STELLA ROSA PINEAPPLE CAN 2PK (2PK 250ML),$8.99,2pk 250ml,0,0,
175,Domaine Philippe Portier Quincy (750 ML),$36.98,750 ml,0,0,
176,Chateau Diana Zero Alcohol White (750 ML),$11.99,750 ml,3,3.7,WATER AND TANG
177,KIM CRAWFORD SAUV BLANC 4PK (4PK 250ML),$24.99,4pk 250ml,0,0,
178,Dolin de Chambery Blanc (750 ML),$27.99,750 ml,0,0,
179,Sassoregale Maremma Sangiovese (750 ML),$21.99,750 ml,0,0,
180,DUCK HUNTER SAUV BLANC (750 ML),$24.99,750 ml,0,0,
181,Ohza Mango Mimosa 4pk 12 oz cans (4PK 12 OZ),$14.99,4pk 12 oz,0,0,
182,Stella Rosa Peach Non Alcoholic (750 ML),$12.99,750 ml,0,0,
